18|69|MiniMax-M2.7|evol-openclaw-proxy|evol
38||claude-3-5-haiku-20241022|evol-openclaw-proxy|evol
39||claude-3-5-sonnet-20241022|evol-openclaw-proxy|evol
6|352|claude-haiku-4-5-20251001|evol-openclaw-proxy|evol
4|350|claude-opus-4-6|evol-openclaw-proxy|evol
7|353|claude-opus-4-7|evol-openclaw-proxy|evol
8|354|claude-opus-4-8|evol-openclaw-proxy|evol
5|351|claude-sonnet-4-6|evol-openclaw-proxy|evol
15|364|deepseek-v3.2|evol-openclaw-proxy|evol
17|120|deepseek-v4-flash|evol-openclaw-proxy|evol
16|121|deepseek-v4-pro|evol-openclaw-proxy|evol
12|358|gemini-3-flash-preview|evol-openclaw-proxy|evol
20|370|gemini-3.1-flash-image|evol-openclaw-proxy|evol
13|359|gemini-3.1-pro-preview|evol-openclaw-proxy|evol
50|51|glm-4.7|evol-openclaw-proxy|evol
49|50|glm-5|evol-openclaw-proxy|evol
14|49|glm-5.1|evol-openclaw-proxy|evol
40||gpt-4o|evol-openclaw-proxy|evol
56||gpt-4o-mini|evol-openclaw-proxy|evol
11|357|gpt-5.3-codex|evol-openclaw-proxy|evol
10|356|gpt-5.4|evol-openclaw-proxy|evol
9|355|gpt-5.5|evol-openclaw-proxy|evol
19|369|gpt-image-2|evol-openclaw-proxy|evol
51|363|kimi-k2.5|evol-openclaw-proxy|evol
52|166|kimi-k2.6|evol-openclaw-proxy|evol
23||MiniMax-M2.7|minimax-prod-1|minimax
24||MiniMax-M3|minimax-prod-1|minimax
25||MiniMax-Text-01|minimax-prod-1|minimax
26||abab5.5-chat|minimax-prod-1|minimax
27||abab6.5s-chat|minimax-prod-1|minimax
76|82|01-ai/yi-large|nvidia-build|nvidia
77|111|abacusai/dracarys-llama-3.1-70b-instruct|nvidia-build|nvidia
78|112|adept/fuyu-8b|nvidia-build|nvidia
79|113|ai21labs/jamba-1.5-large-instruct|nvidia-build|nvidia
80|114|aisingapore/sea-lion-7b-instruct|nvidia-build|nvidia
81|115|baai/bge-m3|nvidia-build|nvidia
82|116|bigcode/starcoder2-15b|nvidia-build|nvidia
